id,total,i_under_050,i_050_074,i_075_099,i_100_124,i_125_149,i_150_174,i_175_184,i_185_199,i_200_299,i_300_399,i_400_499,i_500_over
9011,69117,1872,1170,1444,979,1475,2159,830,1320,9583,8878,9221,30186
9013,35882,337,645,437,853,545,210,504,78,2395,2939,3778,23161
9015,29594,1113,663,1235,635,332,961,193,933,4446,4115,4281,10687
10001,44907,2138,1238,1672,2018,1491,2944,996,998,6455,5441,5939,13577
10003,131524,4223,2292,3423,3313,3032,3630,1568,2386,17832,16870,18068,54887
10005,61968,1263,1758,2019,1496,1607,2407,969,1305,10176,8889,8306,21773
11001,121529,7531,3592,2638,4559,2701,2682,1448,1754,10392,8861,7348,68023
12001,49488,2330,760,1291,945,1118,1416,1216,1299,6406,7167,6546,18994
12005,49233,1720,1640,1107,1385,1790,2762,890,2142,10424,6545,5741,13087
12009,140955,4318,2215,3905,4331,4912,4884,2322,3098,22786,19726,17579,50879
12011,439980,15338,11892,13539,15644,14120,20144,10067,10459,81494,61629,47729,137925
12015,47734,1221,1059,961,1664,987,1837,552,651,8783,9412,5290,15317
12017,36112,1777,1313,1155,1555,1507,2177,591,912,7066,6610,4420,7029
12019,58071,2126,769,1654,2432,3035,3171,717,1028,9825,10798,7218,15298
12021,97654,2519,2278,1782,3737,3643,3783,1634,1090,13158,11814,7869,44347
12023,15657,587,505,101,842,868,580,196,585,2501,2212,2858,3822
12031,229923,10575,6949,8422,10816,9721,9508,4380,6574,38297,33373,23872,67436
12033,70583,2710,1811,1872,2478,2147,2666,1365,1653,12648,11382,10215,19636
12035,29721,1462,600,165,747,684,1008,706,1115,4773,4585,4113,9763
12053,52370,2688,1177,1793,1932,3155,1949,974,1987,11130,8960,5954,10671
12055,27635,1385,688,1575,820,1398,1908,505,1489,5554,4303,2270,5740
12057,342998,14291,12609,10408,12094,12806,14841,5476,6602,52840,48138,34502,118391
12061,34563,309,296,859,1225,1394,1170,749,786,5083,5091,4304,13297
12069,94847,3679,1870,2378,4244,4638,3946,1619,3520,16110,15977,11255,25611
12071,180020,6025,3970,5033,5352,5773,8108,4455,4211,29497,24166,23526,59904
12073,61334,2130,2174,2768,1978,1527,1675,1476,1537,8530,9256,6317,21966
12081,99502,1707,1790,2659,3240,3604,3270,1926,1930,16829,14116,12679,35752
12083,93029,4896,2157,2885,3658,4721,6130,1402,3461,19201,11888,10504,22126
12085,38310,573,1080,1176,817,718,1199,844,671,5767,4970,4329,16166
12086,622526,28298,25396,28541,39236,38830,33517,13753,19934,110712,85165,51079,148065
12087,18944,323,822,416,354,442,547,476,342,2716,2033,1869,8604
12089,23407,949,636,622,464,329,819,72,744,3607,2824,3332,9009
12091,51819,1600,1646,1884,1505,1862,1624,611,918,7111,7070,7536,18452
12095,298508,12669,6757,14471,13433,12600,12410,5624,7691,52436,39631,31946,88840
12097,72198,3565,1357,2786,3557,4004,5427,1693,2460,14868,9416,8075,14990
12099,337212,13459,6193,9554,12208,12500,10800,4418,8309,49430,41988,34927,133426
12101,131802,4234,3061,4195,4473,4463,5831,2636,3630,23356,20575,16886,38462
12103,221744,8759,3926,5087,5987,8083,7576,3567,5732,36575,32440,25757,78255
12105,166438,8600,4351,7117,6127,7364,7003,4369,5811,31743,27965,17586,38402
12107,17301,480,841,505,1054,829,1098,0,786,2759,3716,1961,3272
12109,63627,1099,292,879,1565,2182,2097,360,899,6527,7207,8036,32484
12111,81576,2617,1516,1910,4504,4449,2478,1577,1871,17310,13147,9830,20367
12113,50566,1893,379,730,1210,1598,1675,318,936,10722,5899,5810,19396
12115,112078,3685,1658,1513,1797,2237,3394,1619,2208,17081,17237,13871,45778
12117,121209,2886,1785,3207,3336,3227,3783,1879,3067,17557,18790,15904,45788
12119,40081,1258,237,709,890,1277,1285,215,891,6803,7351,4669,14496
12127,131946,4198,2839,3229,4055,5111,4847,2946,5142,25283,22417,14859,37020
12131,19893,707,28,306,1035,648,738,352,441,3609,2174,1918,7937
13013,21369,769,100,613,1810,724,1027,335,417,4031,3531,2622,5390
13015,26858,1081,989,570,988,2130,1297,1235,876,3852,4188,2874,6778
13021,34437,2940,1235,2742,1553,1187,1822,618,546,6174,4421,3784,7415
13031,16167,780,846,816,546,631,1652,499,386,2738,3058,849,3366
13045,29111,805,1530,879,1131,980,802,505,960,6189,3823,3985,7522
13047,17070,249,187,267,0,627,558,494,340,3663,2715,2404,5566
13051,64383,2797,740,1941,3091,2101,2467,1442,2545,10750,7756,6682,22071
13057,68899,1976,1712,1089,2164,1453,2052,724,2076,8066,8301,8985,30301
13059,26138,1302,1016,1188,1957,1562,1403,417,282,4233,2523,2431,7824
13063,64911,3381,2737,3351,4885,4717,2925,2070,2174,12038,8549,6194,11890
13067,191753,4825,3573,2893,3447,4689,5796,2936,3125,25489,25340,19928,89712
13073,35005,732,440,1112,693,655,752,288,465,3814,5738,5452,14864
13077,37623,1259,515,1347,625,1328,1373,651,588,4302,5638,5355,14642
13089,165666,6000,4022,7052,6511,6064,5587,1543,4077,22450,19454,15463,67443
13095,19901,1611,1315,1474,755,1256,976,464,629,3721,2702,1563,3435
13097,35995,2065,557,1104,3384,566,1218,553,1199,5569,4552,2971,12257
13113,30120,210,178,144,387,601,500,136,364,3740,3574,3257,17029
13115,24361,1891,1014,1378,1609,1320,835,764,955,2974,3679,2357,5585
13117,65991,1134,706,704,424,1270,1429,914,840,6529,8038,8358,35645
13121,230448,8726,5575,6897,8536,6683,7074,2524,2975,26626,26546,20075,108211
13127,23068,1247,815,538,785,952,905,566,405,3224,3832,2989,6810
13135,223536,7220,4937,5369,8075,7512,9549,3180,6019,36716,33721,24812,76426
13139,47579,1456,1860,1711,1709,2246,1608,1003,1155,7740,6253,4987,15851
13151,59142,869,445,1255,2033,2144,2264,707,1865,9935,9706,6870,21049
13153,38986,1976,656,952,1286,1571,1490,149,462,6003,6334,3648,14459
13157,19138,105,96,201,1420,896,473,189,828,2073,3635,2811,6411
13185,23712,4020,460,1208,977,1459,648,576,549,2228,3386,3214,4987
13215,43324,2354,1859,2335,2121,1928,2251,966,857,7982,4564,5127,10980
13217,27727,1893,653,1630,917,957,1441,190,539,6431,4383,2591,6102
13223,41506,1165,757,811,830,1437,794,514,1392,7459,5841,7212,13294
13245,39598,2949,1786,1302,3027,1832,1732,1626,662,7941,4934,3688,8119
13247,22818,798,486,821,809,1210,1047,912,320,3054,2339,2795,8227
13255,16956,443,313,452,903,1221,1449,1291,447,3203,2685,1777,2772
13285,17648,1378,1047,1417,814,633,588,701,492,2477,2480,2170,3451
13295,18983,1221,36,428,1337,1187,1658,899,378,3765,3192,1545,3337
13297,24593,659,1133,472,795,1071,452,171,511,4572,4106,3129,7522
13313,24907,515,715,1176,489,2457,2161,1016,1182,4100,4179,2864,4053
15001,46712,2815,896,1511,1295,1887,1813,527,1336,7004,5761,5204,16663
15003,215379,5130,2311,3323,4659,3971,6040,2996,4519,26839,29687,29007,96897
